Source_Aggregator,Transaction_ID,User_ID,Transaction_Date,Service_Provider,Amount,Status,Access_Source,Is_Retry,Retry_Count,Original_Transaction_ID
PPA,PPA-20250201-49D84ADA,user_01309,2/1/2025 0:00,eko-electric,10000,SUCCESS,mobile_app,No,0,
EPA,EPA202502010000006340,user_01946,2/1/2025 0:00,abuja-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-81327FA6,user_00972,2/1/2025 0:00,eko-electric,5000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-9880BEB5,user_02247,2/1/2025 0:00,ikeja-electric,1500,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-D359C5B0,user_00259,2/1/2025 0:00,enugu-electric,1000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-5BCE42D9,user_00501,2/1/2025 0:00,abuja-electric,10000,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-4A773772,user_02300,2/1/2025 0:00,abuja-electric,1000,COMPLETED,browser,No,0,
BCT,BCT250201A9F6BC,user_02062,2/1/2025 0:00,abuja-electric,94000,COMPLETED,mobile_app,No,0,
EPA,EPA20250201000000E3CA,user_03869,2/1/2025 0:00,abuja-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-0D5D6A23,user_04452,2/1/2025 0:00,enugu-electric,2000,SUCCESS,api,No,0,
PPA,PPA-20250201-6595057D,user_01490,2/1/2025 0:00,portharcourt-electric,60000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201E0ABBA,user_04424,2/1/2025 0:00,ikeja-electric,300000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT2502016F5860,user_00500,2/1/2025 0:00,ibadan-electric,3000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201D7B0A8,user_00918,2/1/2025 0:00,ikeja-electric,2000,SUCCESS,browser,No,0,
BCT,BCT2502017D4E16,user_00338,2/1/2025 0:00,abuja-electric,180000,COMPLETED,browser,No,0,
EPA,EPA20250201000000EF52,user_01585,2/1/2025 0:00,ibadan-electric,7500,COMPLETED,browser,No,0,
BCT,BCT250201E7AB59,user_02502,2/1/2025 0:00,portharcourt-electric,2500,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-067D3808,user_03535,2/1/2025 0:00,eko-electric,40000,COMPLETED,browser,No,0,
BCT,BCT2502018359AC,user_02136,2/1/2025 0:00,portharcourt-electric,1000,SUCCESS,mobile_app,No,0,
BCT,BCT250201965AE4,user_02303,2/1/2025 0:00,portharcourt-electric,1000,COMPLETED,browser,No,0,
PPA,PPA-20250201-53E6BC57,user_02703,2/1/2025 0:00,abuja-electric,1500,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-EBF541E3,user_02930,2/1/2025 0:00,ikeja-electric,2500,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-3BBB5679,user_01119,2/1/2025 0:00,abuja-electric,1618,COMPLETED,browser,No,0,
BCT,BCT2502018077FC,user_00103,2/1/2025 0:00,abuja-electric,1750,SUCCESS,browser,No,0,
EPA,EPA202502010000008C5B,user_02488,2/1/2025 0:00,ibadan-electric,88000,COMPLETED,browser,No,0,
BCT,BCT250201D1202A,user_03541,2/1/2025 0:00,eko-electric,5000,SUCCESS,mobile_app,No,0,
BCT,BCT250201F8979B,user_00859,2/1/2025 0:00,enugu-electric,1000,COMPLETED,browser,No,0,
PPA,PPA-20250201-BE5D2788,user_02240,2/1/2025 0:00,abuja-electric,5000,SUCCESS,browser,No,0,
BCT,BCT25020172227A,user_04022,2/1/2025 0:00,portharcourt-electric,200000,SUCCESS,mobile_app,No,0,
PPA,PPA-20250201-F94D1045,user_00003,2/1/2025 0:00,abuja-electric,3000,COMPLETED,browser,No,0,
BCT,BCT250201425A1D,user_02556,2/1/2025 0:00,abuja-electric,3000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-CE5338BB,user_00864,2/1/2025 0:00,benin-electric,1500,SUCCESS,mobile_app,No,0,
BCT,BCT25020119474D,user_02350,2/1/2025 0:00,enugu-electric,100000,SUCCESS,browser,No,0,
PPA,PPA-20250201-9316B8C5,user_02109,2/1/2025 0:00,abuja-electric,80000,COMPLETED,browser,No,0,
PPA,PPA-20250201-EA8944D7,user_03786,2/1/2025 0:00,portharcourt-electric,5000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-967E226E,user_01556,2/1/2025 0:00,abuja-electric,3750,SUCCESSFUL,mobile_app,No,0,
EPA,EPA20250201000000C2B7,user_02849,2/1/2025 0:00,portharcourt-electric,1000,SUCCESS,browser,No,0,
EPA,EPA2025020100000016EE,user_04130,2/1/2025 0:00,jos-electric,1092,SUCCESS,browser,No,0,
BCT,BCT25020149470D,user_00829,2/1/2025 0:00,eko-electric,10000,COMPLETED,browser,No,0,
PPA,PPA-20250201-2B03FFD4,user_01576,2/1/2025 0:00,abuja-electric,1000,DECLINED,browser,No,0,
BCT,BCT2502015F0E20,user_02210,2/1/2025 0:00,abuja-electric,10000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-6F4E55C4,user_01266,2/1/2025 0:00,eko-electric,68000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-16D930F5,user_03237,2/1/2025 0:00,portharcourt-electric,1500,COMPLETED,mobile_app,No,0,
BCT,BCT2502018DD986,user_01451,2/1/2025 0:00,portharcourt-electric,1000,SUCCESSFUL,mobile_app,No,0,
BCT,BCT250201B64508,user_02964,2/1/2025 0:00,portharcourt-electric,2500,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-6764E358,user_01751,2/1/2025 0:00,eko-electric,1000,SUCCESS,browser,No,0,
PPA,PPA-20250201-8F45FBD8,user_01222,2/1/2025 0:00,abuja-electric,1000,SUCCESS,browser,No,0,
BCT,BCT2502013FBADA,user_01240,2/1/2025 0:00,portharcourt-electric,3000,COMPLETED,mobile_app,No,0,
BCT,BCT250201823A4A,user_02020,2/1/2025 0:00,enugu-electric,2500,COMPLETED,browser,No,0,
BCT,BCT2502016D037D,user_00806,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
EPA,EPA20250201000000EE30,user_01448,2/1/2025 0:00,kano-electric,58000,SUCCESS,browser,No,0,
BCT,BCT250201F29840,user_00489,2/1/2025 0:00,abuja-electric,25000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-13B64FE3,user_01078,2/1/2025 0:00,ibadan-electric,2000,SUCCESS,browser,No,0,
PPA,PPA-20250201-9634B1CB,user_01886,2/1/2025 0:00,portharcourt-electric,20000,SUCCESS,browser,No,0,
BCT,BCT2502015446C6,user_00637,2/1/2025 0:00,ikeja-electric,2000,SUCCESSFUL,mobile_app,No,0,
UHS,UHS-0F7C7CB0-01022025,user_04012,2/1/2025 0:00,eko-electric,3000,SUCCESS,browser,No,0,
EPA,EPA202502010000008D02,user_03423,2/1/2025 0:00,abuja-electric,1500,COMPLETED,mobile_app,No,0,
PPA,PPA-20250201-231A16D5,user_04157,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-3E2F25C3,user_01809,2/1/2025 0:00,portharcourt-electric,1000,COMPLETED,browser,No,0,
PPA,PPA-20250201-5D8063EB,user_01308,2/1/2025 0:00,jos-electric,5000,COMPLETED,browser,No,0,
PPA,PPA-20250201-4A03CE53,user_03364,2/1/2025 0:00,abuja-electric,10000,SUCCESSFUL,browser,No,0,
BCT,BCT2502016B13DB,user_01603,2/1/2025 0:00,eko-electric,55000,COMPLETED,browser,No,0,
PPA,PPA-20250201-B77CCE5E,user_04194,2/1/2025 0:00,abuja-electric,1000,COMPLETED,mobile_app,No,0,
UHS,UHS-8D611797-01022025,user_03836,2/1/2025 0:00,ikeja-electric,1000,DECLINED,browser,No,0,
PPA,PPA-20250201-7EE00417,user_03496,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,mobile_app,No,0,
PPA,PPA-20250201-D3ECA1B9,user_03059,2/1/2025 0:00,ikeja-electric,1500,SUCCESS,browser,No,0,
BCT,BCT2502017B07BC,user_02631,2/1/2025 0:00,ibadan-electric,9232,SUCCESS,mobile_app,No,0,
BCT,BCT2502014C467C,user_03730,2/1/2025 0:00,portharcourt-electric,200000,SUCCESS,api,No,0,
PPA,PPA-20250201-A29F9593,user_01590,2/1/2025 0:00,ikeja-electric,1000,SUCCESSFUL,browser,No,0,
BCT,BCT250201B76E97,user_00911,2/1/2025 0:00,portharcourt-electric,5000,SUCCESS,browser,No,0,
BCT,BCT2502012A0280,user_04310,2/1/2025 0:00,ikeja-electric,4714,COMPLETED,browser,No,0,
PPA,PPA-20250201-82D93E60,user_03516,2/1/2025 0:00,portharcourt-electric,2000,SUCCESSFUL,browser,No,0,
PPA,PPA-20250201-ECB1D0F6,user_03150,2/1/2025 0:00,abuja-electric,1000,SUCCESSFUL,browser,No,0,
BCT,BCT25020144D15A,user_01936,2/1/2025 0:00,portharcourt-electric,10000,SUCCESSFUL,browser,No,0,
BCT,BCT25020167906F,user_00486,2/1/2025 0:00,abuja-electric,2000,SUCCESS,browser,No,0,
PPA,PPA-20250201-F92F2A1B,user_03907,2/1/2025 0:00,abuja-electric,5000,SUCCESS,mobile_app,No,0,
EPA,EPA202502010000003507,user_00890,2/1/2025 0:00,enugu-electric,3000,COMPLETED,api,No,0,
